BOPOMR;HERKOMST;HFUDD;ALDER;KØN;TID;INDHOLD
326 Kalundborg;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;3736
326 Kalundborg;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;128
326 Kalundborg;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;839
326 Kalundborg;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;32
326 Kalundborg;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;34757
329 Ringsted;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;1005
329 Ringsted;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;2477
329 Ringsted;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;186
329 Ringsted;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;884
329 Ringsted;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;62
329 Ringsted;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;22741
330 Slagelse;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;2222
330 Slagelse;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;6509
330 Slagelse;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;376
330 Slagelse;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;1427
330 Slagelse;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;49
330 Slagelse;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;54729
336 Stevns;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;600
336 Stevns;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;1765
336 Stevns;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;84
336 Stevns;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;505
336 Stevns;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;40
336 Stevns;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;15401
340 Sorø;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;793
340 Sorø;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;2528
340 Sorø;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;150
340 Sorø;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;999
340 Sorø;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;55
