DECILGEN;KOMMUNEDK;TID;INDHOLD
2DC Second decil;773 Morsø;2013 2013;141377
3DC Third decil;773 Morsø;2013 2013;157251
4DC Fourth decil;773 Morsø;2013 2013;173301
5DC Fifth decil;773 Morsø;2013 2013;190776
6DC Sixth decil;773 Morsø;2013 2013;208619
7DC Seventh decil;773 Morsø;2013 2013;228096
8DC Eigth decil;773 Morsø;2013 2013;253360
9DC Ninth decil;773 Morsø;2013 2013;289063
10DC Tenth decil;773 Morsø;2013 2013;476932
1DC First decil;779 Skive;2013 2013;84498
2DC Second decil;779 Skive;2013 2013;145797
3DC Third decil;779 Skive;2013 2013;163947
4DC Fourth decil;779 Skive;2013 2013;182497
5DC Fifth decil;779 Skive;2013 2013;201296
6DC Sixth decil;779 Skive;2013 2013;220185
7DC Seventh decil;779 Skive;2013 2013;241049
8DC Eigth decil;779 Skive;2013 2013;266786
9DC Ninth decil;779 Skive;2013 2013;304680
10DC Tenth decil;779 Skive;2013 2013;463307
1DC First decil;787 Thisted;2013 2013;87782
2DC Second decil;787 Thisted;2013 2013;142719
3DC Third decil;787 Thisted;2013 2013;161457
4DC Fourth decil;787 Thisted;2013 2013;180042
5DC Fifth decil;787 Thisted;2013 2013;198526
6DC Sixth decil;787 Thisted;2013 2013;217422
7DC Seventh decil;787 Thisted;2013 2013;238176
8DC Eigth decil;787 Thisted;2013 2013;263548
9DC Ninth decil;787 Thisted;2013 2013;301638
10DC Tenth decil;787 Thisted;2013 2013;489088
1DC First decil;791 Viborg;2013 2013;91267
2DC Second decil;791 Viborg;2013 2013;149282
3DC Third decil;791 Viborg;2013 2013;171504
4DC Fourth decil;791 Viborg;2013 2013;193283
5DC Fifth decil;791 Viborg;2013 2013;213614
6DC Sixth decil;791 Viborg;2013 2013;234054
7DC Seventh decil;791 Viborg;2013 2013;256532
8DC Eigth decil;791 Viborg;2013 2013;283952
9DC Ninth decil;791 Viborg;2013 2013;324518
10DC Tenth decil;791 Viborg;2013 2013;500184
1DC First decil;810 Brønderslev;2013 2013;87861
2DC Second decil;810 Brønderslev;2013 2013;145244
3DC Third decil;810 Brønderslev;2013 2013;163602
4DC Fourth decil;810 Brønderslev;2013 2013;183423
5DC Fifth decil;810 Brønderslev;2013 2013;202797
6DC Sixth decil;810 Brønderslev;2013 2013;221180
7DC Seventh decil;810 Brønderslev;2013 2013;241449
8DC Eigth decil;810 Brønderslev;2013 2013;265721
9DC Ninth decil;810 Brønderslev;2013 2013;302308
10DC Tenth decil;810 Brønderslev;2013 2013;475469
1DC First decil;813 Frederikshavn;2013 2013;88464
2DC Second decil;813 Frederikshavn;2013 2013;147349
3DC Third decil;813 Frederikshavn;2013 2013;164398
4DC Fourth decil;813 Frederikshavn;2013 2013;183545
5DC Fifth decil;813 Frederikshavn;2013 2013;203103
6DC Sixth decil;813 Frederikshavn;2013 2013;222507
7DC Seventh decil;813 Frederikshavn;2013 2013;244839
8DC Eigth decil;813 Frederikshavn;2013 2013;272592
9DC Ninth decil;813 Frederikshavn;2013 2013;312698
10DC Tenth decil;813 Frederikshavn;2013 2013;490816
1DC First decil;820 Vesthimmerlands;2013 2013;84379
2DC Second decil;820 Vesthimmerlands;2013 2013;141545
3DC Third decil;820 Vesthimmerlands;2013 2013;158486
4DC Fourth decil;820 Vesthimmerlands;2013 2013;176304
5DC Fifth decil;820 Vesthimmerlands;2013 2013;195406
6DC Sixth decil;820 Vesthimmerlands;2013 2013;214142
7DC Seventh decil;820 Vesthimmerlands;2013 2013;234716
8DC Eigth decil;820 Vesthimmerlands;2013 2013;260097
9DC Ninth decil;820 Vesthimmerlands;2013 2013;297399
10DC Tenth decil;820 Vesthimmerlands;2013 2013;461679
1DC First decil;825 Læsø;2013 2013;96579
2DC Second decil;825 Læsø;2013 2013;146934
3DC Third decil;825 Læsø;2013 2013;157904
4DC Fourth decil;825 Læsø;2013 2013;173965
5DC Fifth decil;825 Læsø;2013 2013;188671
6DC Sixth decil;825 Læsø;2013 2013;205763
7DC Seventh decil;825 Læsø;2013 2013;223528
8DC Eigth decil;825 Læsø;2013 2013;252470
9DC Ninth decil;825 Læsø;2013 2013;291616
10DC Tenth decil;825 Læsø;2013 2013;489587
1DC First decil;840 Rebild;2013 2013;95954
2DC Second decil;840 Rebild;2013 2013;155080
3DC Third decil;840 Rebild;2013 2013;177520
4DC Fourth decil;840 Rebild;2013 2013;199688
5DC Fifth decil;840 Rebild;2013 2013;220872
6DC Sixth decil;840 Rebild;2013 2013;242039
7DC Seventh decil;840 Rebild;2013 2013;265226
8DC Eigth decil;840 Rebild;2013 2013;294045
9DC Ninth decil;840 Rebild;2013 2013;333350
10DC Tenth decil;840 Rebild;2013 2013;525916
1DC First decil;846 Mariagerfjord;2013 2013;86336
2DC Second decil;846 Mariagerfjord;2013 2013;145831
3DC Third decil;846 Mariagerfjord;2013 2013;163529
4DC Fourth decil;846 Mariagerfjord;2013 2013;182564
5DC Fifth decil;846 Mariagerfjord;2013 2013;202201
6DC Sixth decil;846 Mariagerfjord;2013 2013;222238
7DC Seventh decil;846 Mariagerfjord;2013 2013;244754
8DC Eigth decil;846 Mariagerfjord;2013 2013;271547
9DC Ninth decil;846 Mariagerfjord;2013 2013;310092
10DC Tenth decil;846 Mariagerfjord;2013 2013;468508
1DC First decil;849 Jammerbugt;2013 2013;90531
2DC Second decil;849 Jammerbugt;2013 2013;148040
3DC Third decil;849 Jammerbugt;2013 2013;166113
4DC Fourth decil;849 Jammerbugt;2013 2013;185409
5DC Fifth decil;849 Jammerbugt;2013 2013;204634
6DC Sixth decil;849 Jammerbugt;2013 2013;223505
7DC Seventh decil;849 Jammerbugt;2013 2013;244993
8DC Eigth decil;849 Jammerbugt;2013 2013;270782
9DC Ninth decil;849 Jammerbugt;2013 2013;307999
10DC Tenth decil;849 Jammerbugt;2013 2013;499265
1DC First decil;851 Aalborg;2013 2013;67390
2DC Second decil;851 Aalborg;2013 2013;129408
3DC Third decil;851 Aalborg;2013 2013;155973
4DC Fourth decil;851 Aalborg;2013 2013;177601
5DC Fifth decil;851 Aalborg;2013 2013;201514
6DC Sixth decil;851 Aalborg;2013 2013;225064
7DC Seventh decil;851 Aalborg;2013 2013;250272
8DC Eigth decil;851 Aalborg;2013 2013;280950
9DC Ninth decil;851 Aalborg;2013 2013;324011
10DC Tenth decil;851 Aalborg;2013 2013;495829
1DC First decil;860 Hjørring;2013 2013;75299
2DC Second decil;860 Hjørring;2013 2013;144003
3DC Third decil;860 Hjørring;2013 2013;162902
4DC Fourth decil;860 Hjørring;2013 2013;181801
5DC Fifth decil;860 Hjørring;2013 2013;201012
6DC Sixth decil;860 Hjørring;2013 2013;221630
7DC Seventh decil;860 Hjørring;2013 2013;243855
8DC Eigth decil;860 Hjørring;2013 2013;270407
9DC Ninth decil;860 Hjørring;2013 2013;309340
10DC Tenth decil;860 Hjørring;2013 2013;495503
1DC First decil;000 All Denmark;2013 2013;75704
2DC Second decil;000 All Denmark;2013 2013;140049
3DC Third decil;000 All Denmark;2013 2013;163582
4DC Fourth decil;000 All Denmark;2013 2013;185931
5DC Fifth decil;000 All Denmark;2013 2013;209384
6DC Sixth decil;000 All Denmark;2013 2013;233523
7DC Seventh decil;000 All Denmark;2013 2013;260360
8DC Eigth decil;000 All Denmark;2013 2013;293590
9DC Ninth decil;000 All Denmark;2013 2013;342855
10DC Tenth decil;000 All Denmark;2013 2013;560961
1DC First decil;101 Copenhagen;2013 2013;49825
2DC Second decil;101 Copenhagen;2013 2013;108390
3DC Third decil;101 Copenhagen;2013 2013;134611
4DC Fourth decil;101 Copenhagen;2013 2013;157667
5DC Fifth decil;101 Copenhagen;2013 2013;182788
6DC Sixth decil;101 Copenhagen;2013 2013;210984
7DC Seventh decil;101 Copenhagen;2013 2013;242601
8DC Eigth decil;101 Copenhagen;2013 2013;281404
9DC Ninth decil;101 Copenhagen;2013 2013;336394
10DC Tenth decil;101 Copenhagen;2013 2013;532953
1DC First decil;147 Frederiksberg;2013 2013;56799
