DECILGEN;KOMMUNEDK;TID;INDHOLD
6DC Sixth decil;155 Dragør;2013 2013;314726
7DC Seventh decil;155 Dragør;2013 2013;346077
8DC Eigth decil;155 Dragør;2013 2013;387469
9DC Ninth decil;155 Dragør;2013 2013;447212
10DC Tenth decil;155 Dragør;2013 2013;705851
1DC First decil;157 Gentofte;2013 2013;27359
2DC Second decil;157 Gentofte;2013 2013;163075
3DC Third decil;157 Gentofte;2013 2013;211223
4DC Fourth decil;157 Gentofte;2013 2013;261022
5DC Fifth decil;157 Gentofte;2013 2013;311253
6DC Sixth decil;157 Gentofte;2013 2013;362878
7DC Seventh decil;157 Gentofte;2013 2013;419770
8DC Eigth decil;157 Gentofte;2013 2013;494736
9DC Ninth decil;157 Gentofte;2013 2013;620968
10DC Tenth decil;157 Gentofte;2013 2013;1474685
1DC First decil;159 Gladsaxe;2013 2013;78828
2DC Second decil;159 Gladsaxe;2013 2013;140907
3DC Third decil;159 Gladsaxe;2013 2013;167457
4DC Fourth decil;159 Gladsaxe;2013 2013;192625
5DC Fifth decil;159 Gladsaxe;2013 2013;222298
6DC Sixth decil;159 Gladsaxe;2013 2013;253570
7DC Seventh decil;159 Gladsaxe;2013 2013;288081
8DC Eigth decil;159 Gladsaxe;2013 2013;326187
9DC Ninth decil;159 Gladsaxe;2013 2013;380827
10DC Tenth decil;159 Gladsaxe;2013 2013;562733
1DC First decil;161 Glostrup;2013 2013;95271
2DC Second decil;161 Glostrup;2013 2013;144978
3DC Third decil;161 Glostrup;2013 2013;167749
4DC Fourth decil;161 Glostrup;2013 2013;189355
5DC Fifth decil;161 Glostrup;2013 2013;213523
6DC Sixth decil;161 Glostrup;2013 2013;238708
7DC Seventh decil;161 Glostrup;2013 2013;268462
8DC Eigth decil;161 Glostrup;2013 2013;302081
9DC Ninth decil;161 Glostrup;2013 2013;349179
10DC Tenth decil;161 Glostrup;2013 2013;481529
1DC First decil;163 Herlev;2013 2013;95530
2DC Second decil;163 Herlev;2013 2013;144852
3DC Third decil;163 Herlev;2013 2013;167338
4DC Fourth decil;163 Herlev;2013 2013;189549
5DC Fifth decil;163 Herlev;2013 2013;213038
6DC Sixth decil;163 Herlev;2013 2013;240068
7DC Seventh decil;163 Herlev;2013 2013;268512
8DC Eigth decil;163 Herlev;2013 2013;300983
9DC Ninth decil;163 Herlev;2013 2013;347043
10DC Tenth decil;163 Herlev;2013 2013;507778
1DC First decil;165 Albertslund;2013 2013;68380
2DC Second decil;165 Albertslund;2013 2013;124686
3DC Third decil;165 Albertslund;2013 2013;150666
4DC Fourth decil;165 Albertslund;2013 2013;170094
5DC Fifth decil;165 Albertslund;2013 2013;191436
6DC Sixth decil;165 Albertslund;2013 2013;214563
7DC Seventh decil;165 Albertslund;2013 2013;241754
8DC Eigth decil;165 Albertslund;2013 2013;272035
9DC Ninth decil;165 Albertslund;2013 2013;312625
10DC Tenth decil;165 Albertslund;2013 2013;434086
1DC First decil;167 Hvidovre;2013 2013;86665
2DC Second decil;167 Hvidovre;2013 2013;142148
3DC Third decil;167 Hvidovre;2013 2013;165248
4DC Fourth decil;167 Hvidovre;2013 2013;187617
5DC Fifth decil;167 Hvidovre;2013 2013;211367
6DC Sixth decil;167 Hvidovre;2013 2013;236771
7DC Seventh decil;167 Hvidovre;2013 2013;264831
8DC Eigth decil;167 Hvidovre;2013 2013;296326
9DC Ninth decil;167 Hvidovre;2013 2013;337888
10DC Tenth decil;167 Hvidovre;2013 2013;459690
1DC First decil;169 Høje-Taastrup;2013 2013;86299
2DC Second decil;169 Høje-Taastrup;2013 2013;138306
3DC Third decil;169 Høje-Taastrup;2013 2013;163159
4DC Fourth decil;169 Høje-Taastrup;2013 2013;186052
5DC Fifth decil;169 Høje-Taastrup;2013 2013;210167
6DC Sixth decil;169 Høje-Taastrup;2013 2013;235855
7DC Seventh decil;169 Høje-Taastrup;2013 2013;262336
8DC Eigth decil;169 Høje-Taastrup;2013 2013;294528
9DC Ninth decil;169 Høje-Taastrup;2013 2013;337976
10DC Tenth decil;169 Høje-Taastrup;2013 2013;466256
1DC First decil;173 Lyngby-Taarbæk;2013 2013;78212
2DC Second decil;173 Lyngby-Taarbæk;2013 2013;155197
3DC Third decil;173 Lyngby-Taarbæk;2013 2013;190749
4DC Fourth decil;173 Lyngby-Taarbæk;2013 2013;229307
5DC Fifth decil;173 Lyngby-Taarbæk;2013 2013;271251
6DC Sixth decil;173 Lyngby-Taarbæk;2013 2013;314844
7DC Seventh decil;173 Lyngby-Taarbæk;2013 2013;358348
8DC Eigth decil;173 Lyngby-Taarbæk;2013 2013;408404
9DC Ninth decil;173 Lyngby-Taarbæk;2013 2013;481284
10DC Tenth decil;173 Lyngby-Taarbæk;2013 2013;849506
1DC First decil;175 Rødovre;2013 2013;91704
2DC Second decil;175 Rødovre;2013 2013;141235
3DC Third decil;175 Rødovre;2013 2013;162857
4DC Fourth decil;175 Rødovre;2013 2013;183861
5DC Fifth decil;175 Rødovre;2013 2013;207883
6DC Sixth decil;175 Rødovre;2013 2013;234047
7DC Seventh decil;175 Rødovre;2013 2013;262231
8DC Eigth decil;175 Rødovre;2013 2013;295968
9DC Ninth decil;175 Rødovre;2013 2013;340383
10DC Tenth decil;175 Rødovre;2013 2013;462035
1DC First decil;183 Ishøj;2013 2013;82492
2DC Second decil;183 Ishøj;2013 2013;130233
3DC Third decil;183 Ishøj;2013 2013;151851
4DC Fourth decil;183 Ishøj;2013 2013;169399
5DC Fifth decil;183 Ishøj;2013 2013;187258
6DC Sixth decil;183 Ishøj;2013 2013;207863
7DC Seventh decil;183 Ishøj;2013 2013;232359
8DC Eigth decil;183 Ishøj;2013 2013;264585
9DC Ninth decil;183 Ishøj;2013 2013;306626
10DC Tenth decil;183 Ishøj;2013 2013;440834
1DC First decil;185 Tårnby;2013 2013;95116
2DC Second decil;185 Tårnby;2013 2013;153081
3DC Third decil;185 Tårnby;2013 2013;181158
4DC Fourth decil;185 Tårnby;2013 2013;208143
5DC Fifth decil;185 Tårnby;2013 2013;233462
6DC Sixth decil;185 Tårnby;2013 2013;257196
7DC Seventh decil;185 Tårnby;2013 2013;283138
8DC Eigth decil;185 Tårnby;2013 2013;312577
9DC Ninth decil;185 Tårnby;2013 2013;355388
10DC Tenth decil;185 Tårnby;2013 2013;472663
1DC First decil;187 Vallensbæk;2013 2013;96550
2DC Second decil;187 Vallensbæk;2013 2013;162621
3DC Third decil;187 Vallensbæk;2013 2013;194570
4DC Fourth decil;187 Vallensbæk;2013 2013;222209
5DC Fifth decil;187 Vallensbæk;2013 2013;248307
6DC Sixth decil;187 Vallensbæk;2013 2013;272858
7DC Seventh decil;187 Vallensbæk;2013 2013;299709
8DC Eigth decil;187 Vallensbæk;2013 2013;330482
9DC Ninth decil;187 Vallensbæk;2013 2013;377957
10DC Tenth decil;187 Vallensbæk;2013 2013;547286
1DC First decil;190 Furesø;2013 2013;86786
2DC Second decil;190 Furesø;2013 2013;168093
3DC Third decil;190 Furesø;2013 2013;206120
4DC Fourth decil;190 Furesø;2013 2013;245084
5DC Fifth decil;190 Furesø;2013 2013;281646
6DC Sixth decil;190 Furesø;2013 2013;316855
7DC Seventh decil;190 Furesø;2013 2013;353147
8DC Eigth decil;190 Furesø;2013 2013;396904
9DC Ninth decil;190 Furesø;2013 2013;461182
10DC Tenth decil;190 Furesø;2013 2013;741538
1DC First decil;201 Allerød;2013 2013;122662
2DC Second decil;201 Allerød;2013 2013;189675
3DC Third decil;201 Allerød;2013 2013;228925
4DC Fourth decil;201 Allerød;2013 2013;261051
5DC Fifth decil;201 Allerød;2013 2013;290487
6DC Sixth decil;201 Allerød;2013 2013;319192
7DC Seventh decil;201 Allerød;2013 2013;351750
8DC Eigth decil;201 Allerød;2013 2013;387379
9DC Ninth decil;201 Allerød;2013 2013;443899
10DC Tenth decil;201 Allerød;2013 2013;666734
1DC First decil;210 Fredensborg;2013 2013;90110
2DC Second decil;210 Fredensborg;2013 2013;154905
3DC Third decil;210 Fredensborg;2013 2013;182184
4DC Fourth decil;210 Fredensborg;2013 2013;212201
5DC Fifth decil;210 Fredensborg;2013 2013;242910
6DC Sixth decil;210 Fredensborg;2013 2013;274461
7DC Seventh decil;210 Fredensborg;2013 2013;307496
8DC Eigth decil;210 Fredensborg;2013 2013;346133
9DC Ninth decil;210 Fredensborg;2013 2013;406652
10DC Tenth decil;210 Fredensborg;2013 2013;739144
1DC First decil;217 Helsingør;2013 2013;88994
2DC Second decil;217 Helsingør;2013 2013;148280
3DC Third decil;217 Helsingør;2013 2013;172963
4DC Fourth decil;217 Helsingør;2013 2013;197583
5DC Fifth decil;217 Helsingør;2013 2013;223275
6DC Sixth decil;217 Helsingør;2013 2013;250089
7DC Seventh decil;217 Helsingør;2013 2013;280507
8DC Eigth decil;217 Helsingør;2013 2013;317796
9DC Ninth decil;217 Helsingør;2013 2013;370758
10DC Tenth decil;217 Helsingør;2013 2013;637492
1DC First decil;219 Hillerød;2013 2013;99098
2DC Second decil;219 Hillerød;2013 2013;160655
3DC Third decil;219 Hillerød;2013 2013;190291
4DC Fourth decil;219 Hillerød;2013 2013;218830
5DC Fifth decil;219 Hillerød;2013 2013;245123
6DC Sixth decil;219 Hillerød;2013 2013;271385
7DC Seventh decil;219 Hillerød;2013 2013;300310
8DC Eigth decil;219 Hillerød;2013 2013;334224
9DC Ninth decil;219 Hillerød;2013 2013;385522
10DC Tenth decil;219 Hillerød;2013 2013;571696
1DC First decil;223 Hørsholm;2013 2013;65659
2DC Second decil;223 Hørsholm;2013 2013;174306
3DC Third decil;223 Hørsholm;2013 2013;216873
4DC Fourth decil;223 Hørsholm;2013 2013;261827
5DC Fifth decil;223 Hørsholm;2013 2013;304716
6DC Sixth decil;223 Hørsholm;2013 2013;350296
7DC Seventh decil;223 Hørsholm;2013 2013;398996
8DC Eigth decil;223 Hørsholm;2013 2013;461819
9DC Ninth decil;223 Hørsholm;2013 2013;565720
10DC Tenth decil;223 Hørsholm;2013 2013;1225000
1DC First decil;230 Rudersdal;2013 2013;76825
2DC Second decil;230 Rudersdal;2013 2013;174210
3DC Third decil;230 Rudersdal;2013 2013;222640
4DC Fourth decil;230 Rudersdal;2013 2013;271354
5DC Fifth decil;230 Rudersdal;2013 2013;318988
6DC Sixth decil;230 Rudersdal;2013 2013;363156
7DC Seventh decil;230 Rudersdal;2013 2013;412006
8DC Eigth decil;230 Rudersdal;2013 2013;473205
9DC Ninth decil;230 Rudersdal;2013 2013;570286
10DC Tenth decil;230 Rudersdal;2013 2013;1317832
1DC First decil;240 Egedal;2013 2013;123994
2DC Second decil;240 Egedal;2013 2013;186408
3DC Third decil;240 Egedal;2013 2013;216872
4DC Fourth decil;240 Egedal;2013 2013;241053
5DC Fifth decil;240 Egedal;2013 2013;263993
6DC Sixth decil;240 Egedal;2013 2013;286345
7DC Seventh decil;240 Egedal;2013 2013;311417
8DC Eigth decil;240 Egedal;2013 2013;342886
9DC Ninth decil;240 Egedal;2013 2013;387506
10DC Tenth decil;240 Egedal;2013 2013;551184
1DC First decil;250 Frederikssund;2013 2013;103438
2DC Second decil;250 Frederikssund;2013 2013;157749
3DC Third decil;250 Frederikssund;2013 2013;181315
4DC Fourth decil;250 Frederikssund;2013 2013;204170
5DC Fifth decil;250 Frederikssund;2013 2013;227577
6DC Sixth decil;250 Frederikssund;2013 2013;250709
7DC Seventh decil;250 Frederikssund;2013 2013;276423
8DC Eigth decil;250 Frederikssund;2013 2013;307558
9DC Ninth decil;250 Frederikssund;2013 2013;353900
10DC Tenth decil;250 Frederikssund;2013 2013;510284
1DC First decil;253 Greve;2013 2013;107808
2DC Second decil;253 Greve;2013 2013;165165
3DC Third decil;253 Greve;2013 2013;193665
4DC Fourth decil;253 Greve;2013 2013;221250
5DC Fifth decil;253 Greve;2013 2013;247587
6DC Sixth decil;253 Greve;2013 2013;273066
7DC Seventh decil;253 Greve;2013 2013;300799
8DC Eigth decil;253 Greve;2013 2013;333562
9DC Ninth decil;253 Greve;2013 2013;381988
10DC Tenth decil;253 Greve;2013 2013;561868
1DC First decil;259 Køge;2013 2013;97552
2DC Second decil;259 Køge;2013 2013;150969
3DC Third decil;259 Køge;2013 2013;173694
4DC Fourth decil;259 Køge;2013 2013;196567
5DC Fifth decil;259 Køge;2013 2013;220411
6DC Sixth decil;259 Køge;2013 2013;244582
7DC Seventh decil;259 Køge;2013 2013;270156
8DC Eigth decil;259 Køge;2013 2013;301351
9DC Ninth decil;259 Køge;2013 2013;343915
10DC Tenth decil;259 Køge;2013 2013;494191
1DC First decil;260 Halsnæs;2013 2013;100699
2DC Second decil;260 Halsnæs;2013 2013;152211
3DC Third decil;260 Halsnæs;2013 2013;172089
4DC Fourth decil;260 Halsnæs;2013 2013;191215
5DC Fifth decil;260 Halsnæs;2013 2013;211389
6DC Sixth decil;260 Halsnæs;2013 2013;231476
7DC Seventh decil;260 Halsnæs;2013 2013;252725
8DC Eigth decil;260 Halsnæs;2013 2013;279241
9DC Ninth decil;260 Halsnæs;2013 2013;318675
10DC Tenth decil;260 Halsnæs;2013 2013;456161
1DC First decil;265 Roskilde;2013 2013;80377
2DC Second decil;265 Roskilde;2013 2013;151294
3DC Third decil;265 Roskilde;2013 2013;181603
4DC Fourth decil;265 Roskilde;2013 2013;209681
5DC Fifth decil;265 Roskilde;2013 2013;238284
6DC Sixth decil;265 Roskilde;2013 2013;267491
7DC Seventh decil;265 Roskilde;2013 2013;297828
8DC Eigth decil;265 Roskilde;2013 2013;334008
9DC Ninth decil;265 Roskilde;2013 2013;385791
10DC Tenth decil;265 Roskilde;2013 2013;582239
1DC First decil;269 Solrød;2013 2013;104341
2DC Second decil;269 Solrød;2013 2013;175353
3DC Third decil;269 Solrød;2013 2013;207327
4DC Fourth decil;269 Solrød;2013 2013;234000
5DC Fifth decil;269 Solrød;2013 2013;259400
6DC Sixth decil;269 Solrød;2013 2013;285022
7DC Seventh decil;269 Solrød;2013 2013;313187
8DC Eigth decil;269 Solrød;2013 2013;349293
9DC Ninth decil;269 Solrød;2013 2013;400759
10DC Tenth decil;269 Solrød;2013 2013;596580
1DC First decil;270 Gribskov;2013 2013;89102
2DC Second decil;270 Gribskov;2013 2013;160642
3DC Third decil;270 Gribskov;2013 2013;185226
4DC Fourth decil;270 Gribskov;2013 2013;207729
5DC Fifth decil;270 Gribskov;2013 2013;229813
6DC Sixth decil;270 Gribskov;2013 2013;252157
7DC Seventh decil;270 Gribskov;2013 2013;277172
8DC Eigth decil;270 Gribskov;2013 2013;308155
9DC Ninth decil;270 Gribskov;2013 2013;355148
10DC Tenth decil;270 Gribskov;2013 2013;547250
1DC First decil;306 Odsherred;2013 2013;94181
2DC Second decil;306 Odsherred;2013 2013;146523
3DC Third decil;306 Odsherred;2013 2013;163158
4DC Fourth decil;306 Odsherred;2013 2013;179903
5DC Fifth decil;306 Odsherred;2013 2013;198419
6DC Sixth decil;306 Odsherred;2013 2013;217549
7DC Seventh decil;306 Odsherred;2013 2013;238782
8DC Eigth decil;306 Odsherred;2013 2013;266389
9DC Ninth decil;306 Odsherred;2013 2013;306165
10DC Tenth decil;306 Odsherred;2013 2013;438628
1DC First decil;316 Holbæk;2013 2013;90736
2DC Second decil;316 Holbæk;2013 2013;147341
3DC Third decil;316 Holbæk;2013 2013;169653
4DC Fourth decil;316 Holbæk;2013 2013;191681
5DC Fifth decil;316 Holbæk;2013 2013;214308
6DC Sixth decil;316 Holbæk;2013 2013;237204
7DC Seventh decil;316 Holbæk;2013 2013;261620
8DC Eigth decil;316 Holbæk;2013 2013;291383
9DC Ninth decil;316 Holbæk;2013 2013;333960
10DC Tenth decil;316 Holbæk;2013 2013;493395
1DC First decil;320 Faxe;2013 2013;92362
2DC Second decil;320 Faxe;2013 2013;149122
3DC Third decil;320 Faxe;2013 2013;170133
4DC Fourth decil;320 Faxe;2013 2013;190492
5DC Fifth decil;320 Faxe;2013 2013;211192
6DC Sixth decil;320 Faxe;2013 2013;231879
7DC Seventh decil;320 Faxe;2013 2013;254832
8DC Eigth decil;320 Faxe;2013 2013;282312
9DC Ninth decil;320 Faxe;2013 2013;321732
10DC Tenth decil;320 Faxe;2013 2013;462912
1DC First decil;326 Kalundborg;2013 2013;91377
2DC Second decil;326 Kalundborg;2013 2013;146599
3DC Third decil;326 Kalundborg;2013 2013;166395
4DC Fourth decil;326 Kalundborg;2013 2013;186374
5DC Fifth decil;326 Kalundborg;2013 2013;208121
6DC Sixth decil;326 Kalundborg;2013 2013;230050
7DC Seventh decil;326 Kalundborg;2013 2013;254775
8DC Eigth decil;326 Kalundborg;2013 2013;282762
9DC Ninth decil;326 Kalundborg;2013 2013;323286
10DC Tenth decil;326 Kalundborg;2013 2013;462334
1DC First decil;329 Ringsted;2013 2013;93118
2DC Second decil;329 Ringsted;2013 2013;146889
3DC Third decil;329 Ringsted;2013 2013;169488
4DC Fourth decil;329 Ringsted;2013 2013;190544
5DC Fifth decil;329 Ringsted;2013 2013;212481
6DC Sixth decil;329 Ringsted;2013 2013;236335
7DC Seventh decil;329 Ringsted;2013 2013;261629
8DC Eigth decil;329 Ringsted;2013 2013;290338
9DC Ninth decil;329 Ringsted;2013 2013;332933
10DC Tenth decil;329 Ringsted;2013 2013;491862
1DC First decil;330 Slagelse;2013 2013;86118
2DC Second decil;330 Slagelse;2013 2013;139272
3DC Third decil;330 Slagelse;2013 2013;161141
4DC Fourth decil;330 Slagelse;2013 2013;180367
5DC Fifth decil;330 Slagelse;2013 2013;201951
6DC Sixth decil;330 Slagelse;2013 2013;224915
7DC Seventh decil;330 Slagelse;2013 2013;249267
8DC Eigth decil;330 Slagelse;2013 2013;277502
9DC Ninth decil;330 Slagelse;2013 2013;318223
10DC Tenth decil;330 Slagelse;2013 2013;472376
1DC First decil;336 Stevns;2013 2013;92892
2DC Second decil;336 Stevns;2013 2013;154779
3DC Third decil;336 Stevns;2013 2013;176292
4DC Fourth decil;336 Stevns;2013 2013;198801
5DC Fifth decil;336 Stevns;2013 2013;219939
6DC Sixth decil;336 Stevns;2013 2013;241395
7DC Seventh decil;336 Stevns;2013 2013;263993
8DC Eigth decil;336 Stevns;2013 2013;290955
9DC Ninth decil;336 Stevns;2013 2013;333965
10DC Tenth decil;336 Stevns;2013 2013;501076
1DC First decil;340 Sorø;2013 2013;97010
2DC Second decil;340 Sorø;2013 2013;150422
3DC Third decil;340 Sorø;2013 2013;171379
4DC Fourth decil;340 Sorø;2013 2013;192666
5DC Fifth decil;340 Sorø;2013 2013;214494
6DC Sixth decil;340 Sorø;2013 2013;236195
7DC Seventh decil;340 Sorø;2013 2013;261070
8DC Eigth decil;340 Sorø;2013 2013;289871
9DC Ninth decil;340 Sorø;2013 2013;332543
10DC Tenth decil;340 Sorø;2013 2013;493270
1DC First decil;350 Lejre;2013 2013;111366
2DC Second decil;350 Lejre;2013 2013;168473
3DC Third decil;350 Lejre;2013 2013;195524
4DC Fourth decil;350 Lejre;2013 2013;220212
5DC Fifth decil;350 Lejre;2013 2013;242578
6DC Sixth decil;350 Lejre;2013 2013;265123
7DC Seventh decil;350 Lejre;2013 2013;289911
8DC Eigth decil;350 Lejre;2013 2013;322168
9DC Ninth decil;350 Lejre;2013 2013;368746
10DC Tenth decil;350 Lejre;2013 2013;553453
1DC First decil;360 Lolland;2013 2013;75428
2DC Second decil;360 Lolland;2013 2013;134039
3DC Third decil;360 Lolland;2013 2013;149315
4DC Fourth decil;360 Lolland;2013 2013;162121
5DC Fifth decil;360 Lolland;2013 2013;177263
6DC Sixth decil;360 Lolland;2013 2013;195357
7DC Seventh decil;360 Lolland;2013 2013;217159
8DC Eigth decil;360 Lolland;2013 2013;243382
9DC Ninth decil;360 Lolland;2013 2013;283212
10DC Tenth decil;360 Lolland;2013 2013;459564
1DC First decil;370 Næstved;2013 2013;89107
2DC Second decil;370 Næstved;2013 2013;146326
3DC Third decil;370 Næstved;2013 2013;167890
4DC Fourth decil;370 Næstved;2013 2013;188118
5DC Fifth decil;370 Næstved;2013 2013;210059
6DC Sixth decil;370 Næstved;2013 2013;232623
7DC Seventh decil;370 Næstved;2013 2013;256299
8DC Eigth decil;370 Næstved;2013 2013;284813
9DC Ninth decil;370 Næstved;2013 2013;325625
10DC Tenth decil;370 Næstved;2013 2013;475338
1DC First decil;376 Guldborgsund;2013 2013;77000
2DC Second decil;376 Guldborgsund;2013 2013;138347
3DC Third decil;376 Guldborgsund;2013 2013;156235
4DC Fourth decil;376 Guldborgsund;2013 2013;172363
5DC Fifth decil;376 Guldborgsund;2013 2013;191062
6DC Sixth decil;376 Guldborgsund;2013 2013;211413
7DC Seventh decil;376 Guldborgsund;2013 2013;233562
8DC Eigth decil;376 Guldborgsund;2013 2013;260515
9DC Ninth decil;376 Guldborgsund;2013 2013;299516
10DC Tenth decil;376 Guldborgsund;2013 2013;462921
1DC First decil;390 Vordingborg;2013 2013;85839
2DC Second decil;390 Vordingborg;2013 2013;143020
3DC Third decil;390 Vordingborg;2013 2013;161789
4DC Fourth decil;390 Vordingborg;2013 2013;178507
5DC Fifth decil;390 Vordingborg;2013 2013;198101
