OMRÅDE;ALDER;KØN;TID;INDHOLD
159 Gladsaxe;TOT Age, total;TOT Total;2015M08 2015M08;4.4
161 Glostrup;TOT Age, total;TOT Total;2015M08 2015M08;5.0
163 Herlev;TOT Age, total;TOT Total;2015M08 2015M08;4.3
165 Albertslund;TOT Age, total;TOT Total;2015M08 2015M08;6.2
167 Hvidovre;TOT Age, total;TOT Total;2015M08 2015M08;4.2
169 Høje-Taastrup;TOT Age, total;TOT Total;2015M08 2015M08;5.9
173 Lyngby-Taarbæk;TOT Age, total;TOT Total;2015M08 2015M08;3.0
851 Aalborg;TOT Age, total;TOT Total;2008M09 2008M09;3.2
860 Hjørring;TOT Age, total;TOT Total;2008M09 2008M09;2.8
101 Copenhagen;TOT Age, total;TOT Total;2010M08 2010M08;7.6
147 Frederiksberg;TOT Age, total;TOT Total;2010M08 2010M08;6.1
151 Ballerup;TOT Age, total;TOT Total;2010M08 2010M08;4.2
153 Brøndby;TOT Age, total;TOT Total;2010M08 2010M08;6.6
155 Dragør;TOT Age, total;TOT Total;2010M08 2010M08;3.4
157 Gentofte;TOT Age, total;TOT Total;2010M08 2010M08;3.4
159 Gladsaxe;TOT Age, total;TOT Total;2010M08 2010M08;5.3
161 Glostrup;TOT Age, total;TOT Total;2010M08 2010M08;6.4
163 Herlev;TOT Age, total;TOT Total;2010M08 2010M08;6.0
165 Albertslund;TOT Age, total;TOT Total;2010M08 2010M08;7.6
167 Hvidovre;TOT Age, total;TOT Total;2010M08 2010M08;5.0
169 Høje-Taastrup;TOT Age, total;TOT Total;2010M08 2010M08;7.1
173 Lyngby-Taarbæk;TOT Age, total;TOT Total;2010M08 2010M08;3.7
175 Rødovre;TOT Age, total;TOT Total;2010M08 2010M08;5.2
183 Ishøj;TOT Age, total;TOT Total;2010M08 2010M08;10.2
185 Tårnby;TOT Age, total;TOT Total;2010M08 2010M08;5.6
187 Vallensbæk;TOT Age, total;TOT Total;2010M08 2010M08;4.8
825 Læsø;TOT Age, total;TOT Total;2023M05 2023M05;4.3
840 Rebild;TOT Age, total;TOT Total;2023M05 2023M05;2.1
846 Mariagerfjord;TOT Age, total;TOT Total;2023M05 2023M05;2.7
230 Rudersdal;TOT Age, total;TOT Total;2010M07 2010M07;3.0
240 Egedal;TOT Age, total;TOT Total;2010M07 2010M07;3.1
250 Frederikssund;TOT Age, total;TOT Total;2010M07 2010M07;4.4
253 Greve;TOT Age, total;TOT Total;2010M07 2010M07;4.2
259 Køge;TOT Age, total;TOT Total;2010M07 2010M07;5.5
260 Halsnæs;TOT Age, total;TOT Total;2010M07 2010M07;6.0
265 Roskilde;TOT Age, total;TOT Total;2010M07 2010M07;3.7
269 Solrød;TOT Age, total;TOT Total;2010M07 2010M07;4.1
270 Gribskov;TOT Age, total;TOT Total;2010M07 2010M07;4.5
306 Odsherred;TOT Age, total;TOT Total;2010M07 2010M07;6.0
316 Holbæk;TOT Age, total;TOT Total;2010M07 2010M07;4.8
320 Faxe;TOT Age, total;TOT Total;2010M07 2010M07;5.2
326 Kalundborg;TOT Age, total;TOT Total;2010M07 2010M07;5.2
329 Ringsted;TOT Age, total;TOT Total;2010M07 2010M07;4.8
330 Slagelse;TOT Age, total;TOT Total;2010M07 2010M07;6.5
336 Stevns;TOT Age, total;TOT Total;2010M07 2010M07;5.1
340 Sorø;TOT Age, total;TOT Total;2010M07 2010M07;4.7
350 Lejre;TOT Age, total;TOT Total;2010M07 2010M07;3.5
360 Lolland;TOT Age, total;TOT Total;2010M07 2010M07;7.1
370 Næstved;TOT Age, total;TOT Total;2010M07 2010M07;5.5
376 Guldborgsund;TOT Age, total;TOT Total;2010M07 2010M07;5.1
390 Vordingborg;TOT Age, total;TOT Total;2010M07 2010M07;5.5
400 Bornholm;TOT Age, total;TOT Total;2010M07 2010M07;5.9
860 Hjørring;TOT Age, total;TOT Total;2013M02 2013M02;7.6
849 Jammerbugt;TOT Age, total;TOT Total;2023M05 2023M05;2.5
851 Aalborg;TOT Age, total;TOT Total;2023M05 2023M05;3.5
860 Hjørring;TOT Age, total;TOT Total;2023M05 2023M05;2.7
410 Middelfart;TOT Age, total;TOT Total;2010M07 2010M07;4.3
420 Assens;TOT Age, total;TOT Total;2010M07 2010M07;6.1
430 Faaborg-Midtfyn;TOT Age, total;TOT Total;2010M07 2010M07;5.2
440 Kerteminde;TOT Age, total;TOT Total;2010M07 2010M07;6.2
