KOMMUNEDK;INDKN;TID;INDHOLD
810 Brønderslev;60 60 per cent of median income;2003 2003;9.7
820 Vesthimmerlands;60 60 per cent of median income;2003 2003;10.1
840 Rebild;60 60 per cent of median income;2003 2003;8.1
849 Jammerbugt;60 60 per cent of median income;2003 2003;8.6
860 Hjørring;60 60 per cent of median income;2003 2003;9.1
101 Copenhagen;60 60 per cent of median income;2001 2001;20.8
151 Ballerup;60 60 per cent of median income;2001 2001;7.0
155 Dragør;60 60 per cent of median income;2001 2001;5.3
159 Gladsaxe;60 60 per cent of median income;2001 2001;9.2
163 Herlev;60 60 per cent of median income;2001 2001;9.6
167 Hvidovre;60 60 per cent of median income;2001 2001;10.0
173 Lyngby-Taarbæk;60 60 per cent of median income;2001 2001;8.4
183 Ishøj;60 60 per cent of median income;2001 2001;12.3
187 Vallensbæk;60 60 per cent of median income;2001 2001;3.5
201 Allerød;60 60 per cent of median income;2001 2001;3.8
217 Helsingør;60 60 per cent of median income;2001 2001;8.6
223 Hørsholm;60 60 per cent of median income;2001 2001;4.7
240 Egedal;60 60 per cent of median income;2001 2001;3.5
253 Greve;60 60 per cent of median income;2001 2001;5.5
260 Halsnæs;60 60 per cent of median income;2001 2001;7.8
269 Solrød;60 60 per cent of median income;2001 2001;4.1
306 Odsherred;60 60 per cent of median income;2001 2001;9.9
320 Faxe;60 60 per cent of median income;2001 2001;8.0
329 Ringsted;60 60 per cent of median income;2001 2001;8.6
336 Stevns;60 60 per cent of median income;2001 2001;6.4
350 Lejre;60 60 per cent of median income;2001 2001;4.5
370 Næstved;60 60 per cent of median income;2001 2001;8.8
390 Vordingborg;60 60 per cent of median income;2001 2001;9.8
410 Middelfart;60 60 per cent of median income;2001 2001;6.8
430 Faaborg-Midtfyn;60 60 per cent of median income;2001 2001;8.2
450 Nyborg;60 60 per cent of median income;2001 2001;8.6
479 Svendborg;60 60 per cent of median income;2001 2001;11.5
482 Langeland;60 60 per cent of median income;2001 2001;12.1
510 Haderslev;60 60 per cent of median income;2001 2001;9.3
540 Sønderborg;60 60 per cent of median income;2001 2001;8.5
561 Esbjerg;60 60 per cent of median income;2001 2001;9.8
573 Varde;60 60 per cent of median income;2001 2001;8.3
580 Aabenraa;60 60 per cent of median income;2001 2001;8.9
615 Horsens;60 60 per cent of median income;2001 2001;9.6
630 Vejle;60 60 per cent of median income;2001 2001;8.8
661 Holstebro;60 60 per cent of median income;2001 2001;9.8
671 Struer;60 60 per cent of median income;2001 2001;9.0
707 Norddjurs;60 60 per cent of median income;2001 2001;10.1
727 Odder;60 60 per cent of median income;2001 2001;6.5
740 Silkeborg;60 60 per cent of median income;2001 2001;7.9
746 Skanderborg;60 60 per cent of median income;2001 2001;5.6
756 Ikast-Brande;60 60 per cent of median income;2001 2001;8.4
766 Hedensted;60 60 per cent of median income;2001 2001;5.5
779 Skive;60 60 per cent of median income;2001 2001;9.8
791 Viborg;60 60 per cent of median income;2001 2001;8.6
813 Frederikshavn;60 60 per cent of median income;2001 2001;9.1
825 Læsø;60 60 per cent of median income;2001 2001;9.1
846 Mariagerfjord;60 60 per cent of median income;2001 2001;9.5
851 Aalborg;60 60 per cent of median income;2001 2001;12.5
000 All Denmark;60 60 per cent of median income;2000 2000;10.3
147 Frederiksberg;60 60 per cent of median income;2000 2000;12.7
153 Brøndby;60 60 per cent of median income;2000 2000;10.2
157 Gentofte;60 60 per cent of median income;2000 2000;7.6
161 Glostrup;60 60 per cent of median income;2000 2000;7.1
165 Albertslund;60 60 per cent of median income;2000 2000;13.0
169 Høje-Taastrup;60 60 per cent of median income;2000 2000;9.0
175 Rødovre;60 60 per cent of median income;2000 2000;8.3
185 Tårnby;60 60 per cent of median income;2000 2000;6.3
190 Furesø;60 60 per cent of median income;2000 2000;5.8
