OMRÅDE;KØN;TID;INDHOLD
169 Høje-Taastrup;TOT Total;2019:2023 2019:2023;81.0
173 Lyngby-Taarbæk;TOT Total;2019:2023 2019:2023;83.4
175 Rødovre;TOT Total;2019:2023 2019:2023;81.0
183 Ishøj;TOT Total;2019:2023 2019:2023;79.4
185 Tårnby;TOT Total;2019:2023 2019:2023;80.9
187 Vallensbæk;TOT Total;2019:2023 2019:2023;82.2
190 Furesø;TOT Total;2019:2023 2019:2023;82.9
201 Allerød;TOT Total;2019:2023 2019:2023;83.4
210 Fredensborg;TOT Total;2019:2023 2019:2023;82.0
217 Helsingør;TOT Total;2019:2023 2019:2023;81.6
219 Hillerød;TOT Total;2019:2023 2019:2023;82.2
223 Hørsholm;TOT Total;2019:2023 2019:2023;83.1
230 Rudersdal;TOT Total;2019:2023 2019:2023;83.8
240 Egedal;TOT Total;2019:2023 2019:2023;82.8
250 Frederikssund;TOT Total;2019:2023 2019:2023;80.9
253 Greve;TOT Total;2019:2023 2019:2023;81.7
259 Køge;TOT Total;2019:2023 2019:2023;81.2
260 Halsnæs;TOT Total;2019:2023 2019:2023;80.5
265 Roskilde;TOT Total;2019:2023 2019:2023;81.7
269 Solrød;TOT Total;2019:2023 2019:2023;82.9
270 Gribskov;TOT Total;2019:2023 2019:2023;81.8
306 Odsherred;TOT Total;2019:2023 2019:2023;80.1
316 Holbæk;TOT Total;2019:2023 2019:2023;80.8
320 Faxe;TOT Total;2019:2023 2019:2023;81.2
326 Kalundborg;TOT Total;2019:2023 2019:2023;80.5
329 Ringsted;TOT Total;2019:2023 2019:2023;81.2
330 Slagelse;TOT Total;2019:2023 2019:2023;80.0
336 Stevns;TOT Total;2019:2023 2019:2023;81.0
340 Sorø;TOT Total;2019:2023 2019:2023;80.2
350 Lejre;TOT Total;2019:2023 2019:2023;82.4
360 Lolland;TOT Total;2019:2023 2019:2023;78.5
370 Næstved;TOT Total;2019:2023 2019:2023;80.5
376 Guldborgsund;TOT Total;2019:2023 2019:2023;79.0
390 Vordingborg;TOT Total;2019:2023 2019:2023;79.6
400 Bornholm;TOT Total;2019:2023 2019:2023;80.6
410 Middelfart;TOT Total;2019:2023 2019:2023;81.5
420 Assens;TOT Total;2019:2023 2019:2023;81.4
430 Faaborg-Midtfyn;TOT Total;2019:2023 2019:2023;81.4
440 Kerteminde;TOT Total;2019:2023 2019:2023;81.7
450 Nyborg;TOT Total;2019:2023 2019:2023;80.8
461 Odense;TOT Total;2019:2023 2019:2023;81.3
479 Svendborg;TOT Total;2019:2023 2019:2023;81.0
480 Nordfyns;TOT Total;2019:2023 2019:2023;80.9
482 Langeland;TOT Total;2019:2023 2019:2023;80.5
492 Ærø;TOT Total;2019:2023 2019:2023;..
